PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
1961790,1973354,Host(NUMA 6),Device ?,16.00,1412.69,11.88,11246790607870850,11246790609283540,1781444304182952880,1781444304184365570
1962011,1974998,Host(NUMA 5),Device ?,16.00,861.02,19.49,11246790608477460,11246790609338480,1781444304183796310,1781444304184657330
1961865,1973184,Host(NUMA 7),Device ?,12.00,758.03,16.60,11246790608874520,11246790609632550,1781444304184188440,1781444304184946470
1961865,1973184,Host(NUMA 7),Device ?,4.00,331.02,12.67,11246790609674290,11246790610005310,1781444304184792940,1781444304185123960
1962011,1974998,Host(NUMA 5),Device ?,12.00,581.09,21.65,11246790609384430,11246790609965520,1781444304184816900,1781444304185397990
1962011,1974998,Host(NUMA 5),Device ?,4.00,274.55,15.28,11246790610008550,11246790610283100,1781444304185294330,1781444304185568880
1961790,1973354,Host(NUMA 6),Device ?,16.00,994.04,16.88,11246790609331880,11246790610325920,1781444304184739590,1781444304185733630
1961865,1973184,Host(NUMA 7),Device ?,16.00,953.17,17.60,11246790610045040,11246790610998210,1781444304185120320,1781444304186073490
1962011,1974998,Host(NUMA 5),Device ?,16.00,869.00,19.31,11246790610322640,11246790611191640,1781444304185492700,1781444304186361700
1961790,1973354,Host(NUMA 6),Device ?,12.00,672.86,18.70,11246790610372750,11246790611045610,1781444304185863710,1781444304186536570
1961790,1973354,Host(NUMA 6),Device ?,4.00,337.77,12.42,11246790611088050,11246790611425820,1781444304186359170,1781444304186696940
1961865,1973184,Host(NUMA 7),Device ?,16.00,939.94,17.85,11246790611045020,11246790611984960,1781444304186155870,1781444304187095810
1962011,1974998,Host(NUMA 5),Device ?,16.00,863.76,19.42,11246790611233290,11246790612097050,1781444304186517900,1781444304187381660
1961790,1973354,Host(NUMA 6),Device ?,16.00,956.29,17.54,11246790611467470,11246790612423760,1781444304186715740,1781444304187672030
1962011,1974998,Host(NUMA 5),Device ?,12.00,664.77,18.93,11246790612140190,11246790612804960,1781444304187292590,1781444304187957360
1962011,1974998,Host(NUMA 5),Device ?,4.00,263.46,15.92,11246790612845680,11246790613109140,1781444304187866740,1781444304188130200
1961865,1973184,Host(NUMA 7),Device ?,12.00,681.20,18.47,11246790612044450,11246790612725650,1781444304187632860,1781444304188314060
1961865,1973184,Host(NUMA 7),Device ?,4.00,328.35,12.77,11246790612772960,11246790613101310,1781444304188147380,1781444304188475730
1961790,1973354,Host(NUMA 6),Device ?,16.00,924.05,18.16,11246790612471720,11246790613395770,1781444304187830460,1781444304188754510
1961790,1973354,Host(NUMA 6),Device ?,12.00,640.94,19.63,11246790613444760,11246790614085700,1781444304188524940,1781444304189165880
1961865,1973184,Host(NUMA 7),Device ?,16.00,968.72,17.32,11246790613142430,11246790614111150,1781444304188372430,1781444304189341150
1962011,1974998,Host(NUMA 5),Device ?,16.00,1126.85,14.89,11246790613149160,11246790614276010,1781444304188494690,1781444304189621540
1961790,1973354,Host(NUMA 6),Device ?,4.00,348.71,12.03,11246790614130030,11246790614478740,1781444304189460000,1781444304189808710
1962011,1974998,Host(NUMA 5),Device ?,16.00,758.25,22.13,11246790614318860,11246790615077110,1781444304189397720,1781444304190155970
1961865,1973184,Host(NUMA 7),Device ?,16.00,919.24,18.25,11246790614157900,11246790615077140,1781444304189412410,1781444304190331650
1961790,1973354,Host(NUMA 6),Device ?,16.00,993.54,16.89,11246790614522140,11246790615515680,1781444304189617950,1781444304190611490
1962011,1974998,Host(NUMA 5),Device ?,12.00,597.58,21.06,11246790615122540,11246790615720120,1781444304190296730,1781444304190894310
1961865,1973184,Host(NUMA 7),Device ?,12.00,688.35,18.28,11246790615125070,11246790615813420,1781444304190417220,1781444304191105570
1961865,1973184,Host(NUMA 7),Device ?,4.00,356.71,11.76,11246790615855040,11246790616211750,1781444304190911760,1781444304191268470
1962011,1974998,Host(NUMA 5),Device ?,4.00,392.43,10.69,11246790615759200,11246790616151630,1781444304191152530,1781444304191544960
1961790,1973354,Host(NUMA 6),Device ?,16.00,1089.66,15.40,11246790615564960,11246790616654620,1781444304190745450,1781444304191835110
1962011,1974998,Host(NUMA 5),Device ?,16.00,750.45,22.36,11246790616189690,11246790616940140,1781444304191370070,1781444304192120520
1961790,1973354,Host(NUMA 6),Device ?,12.00,661.98,19.01,11246790616702840,11246790617364820,1781444304191743880,1781444304192405860
1961865,1973184,Host(NUMA 7),Device ?,16.00,955.48,17.56,11246790616252260,11246790617207740,1781444304191623600,1781444304192579080
1962011,1974998,Host(NUMA 5),Device ?,16.00,810.24,20.71,11246790616979680,11246790617789920,1781444304192047530,1781444304192857770
1961790,1973354,Host(NUMA 6),Device ?,4.00,353.94,11.85,11246790617405120,11246790617759060,1781444304192676280,1781444304193030220
1961865,1973184,Host(NUMA 7),Device ?,16.00,1031.32,16.27,11246790617254080,11246790618285400,1781444304192292710,1781444304193324030
1962011,1974998,Host(NUMA 5),Device ?,12.00,583.09,21.58,11246790617831610,11246790618414700,1781444304193022730,1781444304193605820
1962011,1974998,Host(NUMA 5),Device ?,4.00,265.32,15.81,11246790618453330,11246790618718650,1781444304193510220,1781444304193775540
1961790,1973354,Host(NUMA 6),Device ?,16.00,956.38,17.54,11246790617798800,11246790618755180,1781444304193098890,1781444304194055270
1961865,1973184,Host(NUMA 7),Device ?,12.00,657.95,19.12,11246790618338200,11246790618996150,1781444304193566600,1781444304194224550
1961865,1973184,Host(NUMA 7),Device ?,4.00,351.35,11.94,11246790619036820,11246790619388170,1781444304194155770,1781444304194507120
1962011,1974998,Host(NUMA 5),Device ?,16.00,927.36,18.09,11246790618754810,11246790619682170,1781444304193864610,1781444304194791970
1961790,1973354,Host(NUMA 6),Device ?,16.00,972.25,17.26,11246790618800660,11246790619772910,1781444304194117190,1781444304195089440
1961865,1973184,Host(NUMA 7),Device ?,16.00,989.20,16.96,11246790619426960,11246790620416160,1781444304194501130,1781444304195490330
1962011,1974998,Host(NUMA 5),Device ?,16.00,971.07,17.28,11246790619725560,11246790620696630,1781444304194806030,1781444304195777100
1961790,1973354,Host(NUMA 6),Device ?,12.00,644.53,19.52,11246790619818600,11246790620463130,1781444304195307260,1781444304195951790
1961790,1973354,Host(NUMA 6),Device ?,4.00,345.39,12.14,11246790620505650,11246790620851040,1781444304195765560,1781444304196110950
1962011,1974998,Host(NUMA 5),Device ?,12.00,571.64,22.01,11246790620739560,11246790621311200,1781444304195814710,1781444304196386350
1961865,1973184,Host(NUMA 7),Device ?,16.00,1053.14,15.93,11246790620461160,11246790621514300,1781444304195619390,1781444304196672530
1962011,1974998,Host(NUMA 5),Device ?,4.00,302.65,13.86,11246790621351360,11246790621654010,1781444304196649500,1781444304196952150
1961865,1973184,Host(NUMA 7),Device ?,12.00,652.37,19.29,11246790621558480,11246790622210850,1781444304196631700,1781444304197284070
1961790,1973354,Host(NUMA 6),Device ?,16.00,1487.46,11.28,11246790620890860,11246790622378320,1781444304196086880,1781444304197574340
1962011,1974998,Host(NUMA 5),Device ?,16.00,935.36,17.94,11246790621694710,11246790622630070,1781444304196921570,1781444304197856930
1961865,1973184,Host(NUMA 7),Device ?,4.00,313.54,13.38,11246790622253400,11246790622566940,1781444304197719470,1781444304198033010
1961790,1973354,Host(NUMA 6),Device ?,16.00,1076.70,15.58,11246790622425030,11246790623501730,1781444304197505200,1781444304198581900
1962011,1974998,Host(NUMA 5),Device ?,16.00,948.15,17.69,11246790622674880,11246790623623030,1781444304197941500,1781444304198889650
1961865,1973184,Host(NUMA 7),Device ?,16.00,963.40,17.41,11246790622605940,11246790623569340,1781444304198141670,1781444304199105070
