WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
11246790609384430,11246790609965520,Host(NUMA 5),Device ?,12.00,21.65,1781444304184816900,1781444304185397990,0.581,1
11246790607870850,11246790609283540,Host(NUMA 6),Device ?,16.00,11.88,1781444304182952880,1781444304184365570,1.413,1
11246790609674290,11246790610005310,Host(NUMA 7),Device ?,4.00,12.67,1781444304184792940,1781444304185123960,0.331,1
11246790610008550,11246790610283100,Host(NUMA 5),Device ?,4.00,15.28,1781444304185294330,1781444304185568880,0.275,1
11246790609331880,11246790610325920,Host(NUMA 6),Device ?,16.00,16.88,1781444304184739590,1781444304185733630,0.994,1
11246790610372750,11246790611045610,Host(NUMA 6),Device ?,12.00,18.70,1781444304185863710,1781444304186536570,0.673,1
11246790610045040,11246790610998210,Host(NUMA 7),Device ?,16.00,17.60,1781444304185120320,1781444304186073490,0.953,1
11246790610322640,11246790611191640,Host(NUMA 5),Device ?,16.00,19.31,1781444304185492700,1781444304186361700,0.869,1
11246790611088050,11246790611425820,Host(NUMA 6),Device ?,4.00,12.42,1781444304186359170,1781444304186696940,0.338,1
11246790611233290,11246790612097050,Host(NUMA 5),Device ?,16.00,19.42,1781444304186517900,1781444304187381660,0.864,1
11246790612140190,11246790612804960,Host(NUMA 5),Device ?,12.00,18.93,1781444304187292590,1781444304187957360,0.665,1
11246790611045020,11246790611984960,Host(NUMA 7),Device ?,16.00,17.85,1781444304186155870,1781444304187095810,0.940,1
11246790612044450,11246790612725650,Host(NUMA 7),Device ?,12.00,18.47,1781444304187632860,1781444304188314060,0.681,1
11246790611467470,11246790612423760,Host(NUMA 6),Device ?,16.00,17.54,1781444304186715740,1781444304187672030,0.956,1
11246790612471720,11246790613395770,Host(NUMA 6),Device ?,16.00,18.16,1781444304187830460,1781444304188754510,0.924,1
11246790612772960,11246790613101310,Host(NUMA 7),Device ?,4.00,12.77,1781444304188147380,1781444304188475730,0.328,1
11246790612845680,11246790613109140,Host(NUMA 5),Device ?,4.00,15.92,1781444304187866740,1781444304188130200,0.263,1
11246790613444760,11246790614085700,Host(NUMA 6),Device ?,12.00,19.63,1781444304188524940,1781444304189165880,0.641,1
11246790613149160,11246790614276010,Host(NUMA 5),Device ?,16.00,14.89,1781444304188494690,1781444304189621540,1.127,1
11246790613142430,11246790614111150,Host(NUMA 7),Device ?,16.00,17.32,1781444304188372430,1781444304189341150,0.969,1
11246790614130030,11246790614478740,Host(NUMA 6),Device ?,4.00,12.03,1781444304189460000,1781444304189808710,0.349,1
11246790614318860,11246790615077110,Host(NUMA 5),Device ?,16.00,22.13,1781444304189397720,1781444304190155970,0.758,1
11246790614157900,11246790615077140,Host(NUMA 7),Device ?,16.00,18.25,1781444304189412410,1781444304190331650,0.919,1
11246790615125070,11246790615813420,Host(NUMA 7),Device ?,12.00,18.28,1781444304190417220,1781444304191105570,0.688,1
11246790615122540,11246790615720120,Host(NUMA 5),Device ?,12.00,21.06,1781444304190296730,1781444304190894310,0.598,1
11246790614522140,11246790615515680,Host(NUMA 6),Device ?,16.00,16.89,1781444304189617950,1781444304190611490,0.994,1
11246790615759200,11246790616151630,Host(NUMA 5),Device ?,4.00,10.69,1781444304191152530,1781444304191544960,0.392,1
11246790615564960,11246790616654620,Host(NUMA 6),Device ?,16.00,15.40,1781444304190745450,1781444304191835110,1.090,1
11246790615855040,11246790616211750,Host(NUMA 7),Device ?,4.00,11.76,1781444304190911760,1781444304191268470,0.357,1
11246790616189690,11246790616940140,Host(NUMA 5),Device ?,16.00,22.36,1781444304191370070,1781444304192120520,0.750,1
11246790616702840,11246790617364820,Host(NUMA 6),Device ?,12.00,19.01,1781444304191743880,1781444304192405860,0.662,1
11246790616252260,11246790617207740,Host(NUMA 7),Device ?,16.00,17.56,1781444304191623600,1781444304192579080,0.955,1
11246790616979680,11246790617789920,Host(NUMA 5),Device ?,16.00,20.71,1781444304192047530,1781444304192857770,0.810,1
