timestamp,path_id,bandwidth_gbps,is_degraded
1781253734.457,35121,11.00,1
1781253734.466,35121,18.90,0
1781253734.476,35121,14.70,0
1781253735.501,20176,9.50,1
1781253735.509,20176,19.30,0
1781253735.522,20176,12.20,1
1781253736.755,35121,15.60,0
1781253736.764,35121,17.60,0
1781253736.787,35121,13.30,1
1781253737.806,35121,15.20,0
1781253737.818,35121,14.00,1
1781253737.827,35121,18.00,0
1781253737.845,35121,7.80,1
1781253738.880,35121,11.90,1
1781253738.893,35121,11.20,1
1781253739.929,35121,16.80,0
1781253739.939,35121,14.90,0
1781253739.949,35121,15.70,0
1781253739.966,35121,8.80,1
1781253739.974,35121,20.10,0
1781253739.988,35121,11.20,1
1781253739.996,35121,19.10,0
1781253743.073,35121,16.60,0
1781253743.088,35121,10.10,1
1781253743.103,35121,9.90,1
1781253743.114,35121,13.60,1
1781253743.125,35121,14.50,0
1781253743.134,35121,17.60,0
1781253743.146,35121,12.90,1
1781253743.155,35121,17.40,0
1781253743.173,35121,8.50,1
1781253743.183,35121,14.50,0
1781253746.262,35121,18.90,0
1781253746.274,35121,12.60,1
1781253746.282,35121,19.90,0
1781253746.303,35121,6.80,1
1781253746.312,35121,19.20,0
1781253746.327,35121,9.80,1
1781253746.335,35121,19.80,0
1781253746.347,35121,12.50,1
1781253746.356,35121,18.70,0
1781253746.373,35121,8.70,1
1781253748.432,35121,9.70,1
1781253748.441,35121,17.90,0
1781253748.451,35121,15.40,0
1781253748.468,35121,15.70,0
1781253748.478,35121,15.10,0
1781253748.488,35121,16.30,0
1781253753.880,35121,7.50,1
1781253753.888,35121,20.10,0
1781253753.899,35121,13.30,1
1781253753.908,35121,20.20,0
1781253753.927,35121,17.10,0
1781253754.945,35121,17.20,0
1781253754.958,35121,12.20,1
1781253754.973,35121,9.60,1
1781253754.987,35121,11.10,1
1781253754.998,35121,13.40,1
1781253755.008,35121,16.90,0
1781253755.019,35121,13.40,1
1781253755.028,35121,19.20,0
1781253755.049,35121,6.80,1
1781253755.057,35121,19.80,0
1781253757.110,20176,13.30,1
1781253757.130,20176,9.50,1
1781253757.143,20176,11.80,1
1781253757.158,20176,10.20,1
1781253757.166,20176,19.80,0
1781253757.178,20176,12.10,1
1781253758.203,35121,10.10,1
1781253758.217,35121,10.80,1
1781253758.233,35121,8.80,1
1781253758.249,35121,9.40,1
1781253759.282,35121,15.00,0
1781253759.290,35121,18.50,0
1781253760.321,35121,14.40,0
1781253760.330,35121,17.50,0
1781253760.351,35121,7.10,1
1781253760.359,35121,18.30,0
1781253760.375,35121,9.80,1
1781253760.383,35121,19.90,0
1781253760.395,35121,12.10,1
1781253760.404,35121,19.50,0
1781253760.421,35121,8.70,1
1781253760.429,35121,19.80,0
1781253761.452,20176,10.50,1
1781253761.471,20176,7.90,1
1781253762.512,35121,12.00,1
1781253762.521,35121,20.10,0
1781253762.533,35121,13.00,1
1781253762.545,35121,12.40,1
1781253762.555,35121,15.00,0
1781253764.606,35121,11.90,1
1781253769.761,35121,7.90,1
1781253769.769,35121,19.80,0
1781253769.784,35121,9.80,1
1781253769.792,35121,19.50,0
1781253769.805,35121,12.40,1
1781253769.813,35121,18.60,0
1781253769.831,35121,8.70,1
1781253771.901,20176,14.40,0
1781253772.923,20176,11.70,1
1781253772.933,20176,16.70,0
1781253772.943,20176,14.80,0
1781253772.954,20176,15.10,0
1781253772.967,20176,11.20,1
1781253778.273,35121,18.60,0
1781253778.285,35121,12.80,1
1781253778.295,35121,16.30,0
1781253778.312,35121,8.50,1
1781253778.322,35121,15.10,0
1781253778.334,35121,13.40,1
1781253778.343,35121,16.70,0
1781253778.354,35121,15.20,0
1781253778.369,35121,10.00,1
1781253778.383,35121,10.40,1
1781253779.410,35121,8.00,1
1781253779.429,35121,8.00,1
1781253779.453,35121,5.90,1
1781253779.474,35121,7.00,1
1781253783.803,20176,18.60,0
1781253783.815,20176,12.70,1
1781253783.823,20176,19.80,0
1781253783.844,20176,6.80,1
1781253783.854,20176,16.40,0
1781253783.868,20176,10.40,1
1781253783.877,20176,19.60,0
1781253786.958,20176,15.80,0
1781253786.974,20176,9.20,1
1781253786.983,20176,18.60,0
1781253786.996,20176,11.50,1
1781253787.005,20176,18.00,0
1781253787.016,20176,13.70,1
1781253789.071,35121,17.30,0
1781253789.093,35121,10.10,1
