PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8634.04,15.73,11427500114297590,11427500122931630,1781625013689440780,1781625013698074820
2730429,2730429,Host(NUMA 4),NPU 0,0.01,73.52,0.10,11427500143724340,11427500143797860,1781625013718843230,1781625013718916750
2730429,2730429,Host(NUMA 4),NPU 0,0.01,51.32,0.14,11427500143903330,11427500143954650,1781625013719073900,1781625013719125220
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2158.86,15.30,11427500144165930,11427500146324790,1781625013719251210,1781625013721410070
2730429,2730429,Host(NUMA 4),NPU 0,0.01,64.37,0.14,11427500151488610,11427500151552980,1781625013726626300,1781625013726690670
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27916.71,0.92,11427500151737300,11427500179654010,1781625013726866720,1781625013754783430
2730429,2730429,Host(NUMA 4),NPU 0,259.00,19451.24,13.96,11427500180497570,11427500199948810,1781625013755648930,1781625013775100170
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8573.64,15.84,11427500240912500,11427500249486140,1781625013816031640,1781625013824605280
2730429,2730429,Host(NUMA 4),NPU 0,0.01,44.20,0.16,11427500270345460,11427500270389660,1781625013845607040,1781625013845651240
2730429,2730429,Host(NUMA 4),NPU 0,0.01,30.28,0.24,11427500270490380,11427500270520660,1781625013845821010,1781625013845851290
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2180.32,15.15,11427500270704750,11427500272885070,1781625013845816840,1781625013847997160
2730429,2730429,Host(NUMA 4),NPU 0,0.01,36.83,0.25,11427500278175400,11427500278212230,1781625013853375440,1781625013853412270
2730429,2730429,Host(NUMA 4),NPU 0,24.50,32936.37,0.78,11427500278392770,11427500311329140,1781625013853645530,1781625013886581900
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16097.87,16.87,11427500311971300,11427500328069170,1781625013887155940,1781625013903253810
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8706.59,15.60,11427500369111090,11427500377817680,1781625013944329830,1781625013953036420
2730429,2730429,Host(NUMA 4),NPU 0,0.01,43.05,0.17,11427500398792340,11427500398835390,1781625013974004280,1781625013974047330
2730429,2730429,Host(NUMA 4),NPU 0,0.01,29.76,0.24,11427500398939440,11427500398969200,1781625013974238800,1781625013974268560
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2235.94,14.77,11427500399150570,11427500401386510,1781625013974270790,1781625013976506730
2730429,2730429,Host(NUMA 4),NPU 0,0.01,37.36,0.25,11427500406617180,11427500406654540,1781625013981737790,1781625013981775150
2730429,2730429,Host(NUMA 4),NPU 0,24.50,28495.38,0.90,11427500406838150,11427500435333530,1781625013981961880,1781625014010457260
2730429,2730429,Host(NUMA 4),NPU 0,259.00,15904.92,17.08,11427500436129700,11427500452034620,1781625014011249500,1781625014027154420
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8488.25,16.00,11427500497634570,11427500506122820,1781625014072729850,1781625014081218100
2730429,2730429,Host(NUMA 4),NPU 0,0.01,43.53,0.16,11427500527042240,11427500527085770,1781625014102158760,1781625014102202290
2730429,2730429,Host(NUMA 4),NPU 0,0.01,32.97,0.22,11427500527190190,11427500527223160,1781625014102338120,1781625014102371090
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2158.66,15.30,11427500527405460,11427500529564120,1781625014102512310,1781625014104670970
2730429,2730429,Host(NUMA 4),NPU 0,0.01,37.64,0.24,11427500534770540,11427500534808180,1781625014109863340,1781625014109900980
2730429,2730429,Host(NUMA 4),NPU 0,24.50,26860.71,0.96,11427500534991000,11427500561851710,1781625014110113030,1781625014136973740
2730429,2730429,Host(NUMA 4),NPU 0,259.00,15604.77,17.40,11427500562487410,11427500578092180,1781625014137575970,1781625014153180740
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8389.16,16.19,11427500618182370,11427500626571530,1781625014193296840,1781625014201686000
2730429,2730429,Host(NUMA 4),NPU 0,0.01,43.60,0.16,11427500647344080,11427500647387680,1781625014222437190,1781625014222480790
2730429,2730429,Host(NUMA 4),NPU 0,0.01,29.68,0.24,11427500647490760,11427500647520440,1781625014222640370,1781625014222670050
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2158.62,15.30,11427500647705850,11427500649864470,1781625014222796190,1781625014224954810
2730429,2730429,Host(NUMA 4),NPU 0,0.01,36.26,0.25,11427500654973440,11427500655009700,1781625014230083580,1781625014230119840
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27072.15,0.95,11427500655191540,11427500682263690,1781625014230289210,1781625014257361360
2730429,2730429,Host(NUMA 4),NPU 0,259.00,214367.67,1.27,11427500683056480,11427500897424150,1781625014258181510,1781625014472549180
