nohup: ignoring input
============================================================
FlowGap Online Probe Loop
  Trace log:  ../data/collected/pass2_raw.log
  Policy:     flowgap_predictive
  Budget:     2 probes/s
  Dry run:    False
  Once mode:  False
============================================================

Opening probe executor (AscendCL)...
  OK — executor ready

Waiting for trace file: ../data/collected/pass2_raw.log
  [LAT] Path 51468: 114.5µs (0.0GB/s)
  [LAT] Path 51468: 83.8µs (0.1GB/s)
  [BW] Path 39006: 6548.6µs (20.5GB/s)
  [BW] Path 39006: 8701.5µs (15.4GB/s)
  [BW] Path 39006: 8474.2µs (15.8GB/s)
  [BW] Path 39006: 9054.3µs (14.8GB/s)
  [LAT] Path 38170: 113.7µs (0.0GB/s)
  [BW] Path 38170: 6488.2µs (20.7GB/s)
  [LAT] Path 24721: 172.7µs (0.0GB/s)
  [LAT] Path 24721: 91.8µs (0.0GB/s)
  [LAT] Path 24721: 117.5µs (0.0GB/s)
  [LAT] Path 24721: 88.6µs (0.1GB/s)
  [BW] Path 28801: 8816.8µs (15.2GB/s)
  [BW] Path 28801: 6486.7µs (20.7GB/s)
  [LAT] Path 51468: 170.0µs (0.0GB/s)
  [LAT] Path 51468: 69.8µs (0.1GB/s)
  [LAT] Path 58584: 156.6µs (0.0GB/s)
  [LAT] Path 58584: 24.6µs (0.2GB/s)
  [LAT] Path 51468: 148.7µs (0.0GB/s)
  [LAT] Path 51468: 70.8µs (0.1GB/s)
  [LAT] Path 38170: 152.8µs (0.0GB/s)
  [BW] Path 38170: 6447.4µs (20.8GB/s)
  [LAT] Path 38170: 149.4µs (0.0GB/s)
  [LAT] Path 38170: 70.2µs (0.1GB/s)
  [LAT] Path 61891: 1264.4µs (0.0GB/s)
  [LAT] Path 61891: 73.4µs (0.1GB/s)
  [LAT] Path 24721: 110.7µs (0.0GB/s)
  [LAT] Path 24721: 394.6µs (0.0GB/s)
  [LAT] Path 28801: 113.2µs (0.0GB/s)
  [LAT] Path 28801: 70.2µs (0.1GB/s)
  [LAT] Path 51468: 167.4µs (0.0GB/s)
  [LAT] Path 51468: 275.9µs (0.0GB/s)
  [LAT] Path 61891: 109.7µs (0.0GB/s)
  [LAT] Path 61891: 71.7µs (0.1GB/s)
  [LAT] Path 38170: 110.4µs (0.0GB/s)
  [LAT] Path 38170: 75.2µs (0.1GB/s)
  [BW] Path 39006: 6553.7µs (20.5GB/s)
  [BW] Path 39006: 8313.0µs (16.1GB/s)
  [LAT] Path 24721: 211.5µs (0.0GB/s)
  [BW] Path 24721: 9086.5µs (14.8GB/s)
  [BW] Path 28801: 6611.8µs (20.3GB/s)
  [BW] Path 28801: 6507.4µs (20.6GB/s)
  [BW] Path 33139: 6522.2µs (20.6GB/s)
  [BW] Path 33139: 8288.0µs (16.2GB/s)
  [LAT] Path 38170: 143.5µs (0.0GB/s)
  [BW] Path 38170: 6620.3µs (20.3GB/s)
  [LAT] Path 58584: 158.2µs (0.0GB/s)
  [LAT] Path 58584: 74.7µs (0.1GB/s)
  [LAT] Path 58584: 149.2µs (0.0GB/s)
  [LAT] Path 58584: 67.9µs (0.1GB/s)
  [LAT] Path 58584: 149.5µs (0.0GB/s)
  [LAT] Path 58584: 67.1µs (0.1GB/s)
  [LAT] Path 51468: 163.2µs (0.0GB/s)
  [LAT] Path 51468: 65.1µs (0.1GB/s)
  [LAT] Path 51468: 141.2µs (0.0GB/s)
  [LAT] Path 51468: 68.7µs (0.1GB/s)
  [LAT] Path 38170: 105.9µs (0.0GB/s)
  [BW] Path 38170: 6461.5µs (20.8GB/s)
  [LAT] Path 39006: 29.0µs (0.1GB/s)
  [LAT] Path 39006: 80.6µs (0.1GB/s)
  [LAT] Path 61891: 148.2µs (0.0GB/s)
  [LAT] Path 61891: 68.2µs (0.1GB/s)
  [LAT] Path 61891: 143.5µs (0.0GB/s)
  [LAT] Path 61891: 71.6µs (0.1GB/s)
  [LAT] Path 64518: 209.8µs (0.0GB/s)
  [LAT] Path 64518: 124.2µs (0.0GB/s)
  [BW] Path 64518: 6557.6µs (20.5GB/s)
  [LAT] Path 64518: 81.5µs (0.1GB/s)
  [BW] Path 24721: 6523.3µs (20.6GB/s)
  [LAT] Path 24721: 61.6µs (0.1GB/s)
  [LAT] Path 39006: 417.8µs (0.0GB/s)
  [LAT] Path 39006: 73.1µs (0.1GB/s)
  [LAT] Path 58584: 451.0µs (0.0GB/s)
  [LAT] Path 58584: 71.8µs (0.1GB/s)
  [LAT] Path 51468: 127.8µs (0.0GB/s)
  [BW] Path 51468: 9047.8µs (14.8GB/s)
  [BW] Path 28801: 6539.7µs (20.5GB/s)
  [BW] Path 28801: 6575.7µs (20.4GB/s)
  [BW] Path 51468: 6562.3µs (20.4GB/s)
  [BW] Path 51468: 6521.7µs (20.6GB/s)
  [BW] Path 24721: 6691.1µs (20.1GB/s)
  [BW] Path 24721: 6530.7µs (20.6GB/s)
  [LAT] Path 61891: 152.9µs (0.0GB/s)
  [LAT] Path 61891: 68.9µs (0.1GB/s)
  [LAT] Path 58584: 153.5µs (0.0GB/s)
  [LAT] Path 58584: 69.8µs (0.1GB/s)
  [LAT] Path 58584: 150.4µs (0.0GB/s)
  [LAT] Path 58584: 69.1µs (0.1GB/s)
  [LAT] Path 58584: 149.7µs (0.0GB/s)
  [LAT] Path 58584: 68.3µs (0.1GB/s)
  [LAT] Path 51468: 148.4µs (0.0GB/s)
  [BW] Path 51468: 6487.7µs (20.7GB/s)
  [LAT] Path 51468: 147.1µs (0.0GB/s)
  [BW] Path 51468: 6448.9µs (20.8GB/s)
  [LAT] Path 12702: 150.3µs (0.0GB/s)
  [LAT] Path 12702: 69.0µs (0.1GB/s)
  [LAT] Path 39006: 107.7µs (0.0GB/s)
  [LAT] Path 39006: 68.0µs (0.1GB/s)
  [LAT] Path 39006: 98.0µs (0.0GB/s)
  [LAT] Path 39006: 71.1µs (0.1GB/s)
  [LAT] Path 33139: 126.3µs (0.0GB/s)
  [LAT] Path 33139: 72.8µs (0.1GB/s)
  [LAT] Path 38170: 145.2µs (0.0GB/s)
  [LAT] Path 38170: 70.7µs (0.1GB/s)
  [BW] Path 28801: 6598.2µs (20.3GB/s)
  [LAT] Path 28801: 164.7µs (0.0GB/s)
  [LAT] Path 39006: 161.7µs (0.0GB/s)
  [LAT] Path 39006: 184.1µs (0.0GB/s)
  [LAT] Path 61891: 167.9µs (0.0GB/s)
  [LAT] Path 61891: 147.8µs (0.0GB/s)
