index,path_id,bandwidth_gbps,is_degraded
686,56659,15.30,0
687,31572,12.80,0
688,31572,16.10,0
689,16080,15.20,0
690,16080,10.80,1
691,36012,20.50,0
692,36012,20.60,0
693,36012,20.20,0
694,56659,20.60,0
695,56659,20.50,0
696,56659,20.60,0
697,56659,14.60,0
698,56659,19.80,0
699,56659,19.70,0
700,35431,17.10,0
701,35431,19.80,0
702,35431,19.70,0
703,35431,14.70,0
704,35431,20.40,0
705,35431,20.20,0
706,16080,13.10,0
707,16080,20.10,0
708,36012,20.10,0
709,36012,20.00,0
710,35431,20.30,0
711,35431,19.70,0
712,36012,20.20,0
713,36012,20.20,0
714,16080,20.20,0
715,16080,19.00,0
716,16080,20.10,0
717,16080,19.10,0
718,31572,20.50,0
719,31572,20.30,0
720,56659,20.60,0
721,56659,14.70,0
722,56659,20.60,0
723,56659,15.60,0
724,35431,20.50,0
725,35431,19.80,0
726,35431,20.60,0
727,35431,14.90,0
728,35431,20.30,0
729,35431,20.40,0
730,31572,19.80,0
731,31572,18.20,0
732,36012,20.60,0
733,36012,20.20,0
734,31572,19.10,0
735,31572,20.20,0
736,36012,20.50,0
737,36012,20.10,0
738,36661,20.20,0
739,36661,20.20,0
740,16080,20.30,0
741,16080,20.10,0
742,31572,20.40,0
743,31572,20.50,0
744,36012,20.10,0
745,36012,19.60,0
746,36661,20.50,0
747,36661,14.70,0
748,36661,20.10,0
749,36661,20.60,0
750,36661,20.60,0
751,36661,19.80,0
752,35431,13.80,0
753,35431,19.50,0
754,35431,19.40,0
755,35431,20.10,0
756,36012,20.60,0
757,36012,20.60,0
758,36012,20.30,0
759,36012,19.60,0
760,16080,20.50,0
761,16080,19.90,0
762,56659,20.30,0
763,56659,18.10,0
764,56659,15.70,0
765,56659,20.00,0
766,56659,19.60,0
767,35431,20.10,0
768,35431,19.70,0
769,36012,20.20,0
770,36012,20.60,0
771,36661,19.20,0
772,36661,15.70,0
773,35431,14.70,0
774,35431,20.30,0
775,10145,19.70,0
776,10145,20.00,0
777,56659,20.30,0
778,56659,20.50,0
779,36012,20.50,0
780,36012,14.30,0
781,36012,20.00,0
782,36012,20.10,0
783,36661,20.30,0
784,36012,20.40,0
785,36012,19.70,0
786,36012,20.10,0
787,36012,19.70,0
788,35431,20.20,0
789,35431,20.40,0
790,35431,20.40,0
791,35431,20.10,0
792,56659,20.40,0
793,56659,15.60,0
794,65441,19.10,0
795,65441,15.40,0
796,16080,20.60,0
797,16080,20.10,0
798,35431,19.90,0
